policy,minutes,stage,cash,net_income_per_min,sustained_income_per_min,customers_served,upgrades,employees
greedy-cheapest,0.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,0.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,1.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,1.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,2.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,2.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,3.00,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,3.50,1,0.00,0.000,0.000,0,0,0
greedy-cheapest,4.00,1,3.90,9.904,0.000,3,1,0
greedy-cheapest,4.50,1,7.80,18.074,0.000,6,2,0
greedy-cheapest,5.00,1,8.42,16.809,0.000,9,3,0
greedy-cheapest,5.50,1,3.61,14.351,0.000,11,4,0
greedy-cheapest,6.00,1,1.04,15.615,0.000,13,5,0
greedy-cheapest,6.50,1,14.20,16.880,0.000,16,5,0
greedy-cheapest,7.00,1,26.09,25.049,0.000,19,5,0
greedy-cheapest,7.50,1,32.27,12.363,0.000,21,5,0
greedy-cheapest,8.00,1,41.71,15.615,0.000,23,5,0
greedy-cheapest,8.50,1,53.13,20.856,0.000,25,5,0
greedy-cheapest,9.00,1,64.23,22.520,0.000,29,5,0
greedy-cheapest,9.50,1,73.66,18.074,0.000,31,5,0
greedy-cheapest,10.00,1,88.01,18.074,0.000,35,5,0
greedy-cheapest,10.50,1,96.65,14.821,0.000,38,5,0
greedy-cheapest,11.00,1,110.53,22.520,0.000,41,5,0
greedy-cheapest,11.50,1,114.25,11.892,11.393,42,5,0
greedy-cheapest,12.00,1,114.25,3.723,11.548,42,5,0
greedy-cheapest,12.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,13.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,13.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,14.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,14.50,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,15.00,1,114.25,0.000,11.548,42,5,0
greedy-cheapest,15.50,1,116.71,2.458,11.650,43,5,0
greedy-cheapest,16.00,1,128.13,13.881,11.816,45,5,0
greedy-cheapest,16.50,1,138.76,22.050,11.981,48,5,0
greedy-cheapest,17.00,1,142.49,14.351,11.879,49,5,0
greedy-cheapest,17.50,1,151.92,13.157,11.829,51,5,0
greedy-cheapest,18.00,1,158.10,15.615,11.829,53,5,0
greedy-cheapest,18.50,1,173.72,18.074,11.879,57,5,0
greedy-cheapest,19.00,1,190.53,28.702,12.031,62,5,0
greedy-cheapest,19.50,1,204.15,27.978,12.682,66,5,0
greedy-cheapest,20.00,1,209.86,19.338,12.837,67,5,0
greedy-cheapest,20.50,1,216.05,11.892,12.463,69,5,0
greedy-cheapest,21.00,1,218.50,8.640,11.885,70,5,0
greedy-cheapest,21.50,2,56.05,20.002,11.965,74,5,2
greedy-cheapest,22.00,2,43.23,28.721,12.409,77,6,2
greedy-cheapest,22.50,2,26.44,18.513,12.563,79,7,2
greedy-cheapest,23.00,2,29.69,6.621,11.900,80,7,2
greedy-cheapest,23.50,2,28.98,-1.311,11.350,80,7,2
greedy-cheapest,24.00,2,31.99,2.412,11.296,81,7,2
greedy-cheapest,24.50,2,31.27,-1.311,11.241,81,7,2
greedy-cheapest,25.00,2,30.56,-1.311,11.186,81,7,2
greedy-cheapest,25.50,2,33.81,2.655,11.297,82,7,2
greedy-cheapest,26.00,2,33.09,2.655,11.408,82,7,2
greedy-cheapest,26.50,2,32.38,-1.311,11.353,82,7,2
greedy-cheapest,27.00,2,31.66,-1.311,11.298,82,7,2
greedy-cheapest,27.50,2,40.38,8.123,11.535,84,7,2
greedy-cheapest,28.00,2,20.55,17.006,11.665,87,8,2
greedy-cheapest,28.50,2,36.97,24.705,11.775,90,8,2
greedy-cheapest,29.00,2,38.71,18.281,11.939,91,8,2
greedy-cheapest,29.50,2,41.96,5.113,11.604,92,8,2
greedy-cheapest,30.00,2,29.05,22.464,11.889,95,9,2
greedy-cheapest,30.50,2,47.88,23.944,12.134,100,9,2
greedy-cheapest,31.00,2,33.94,36.054,12.440,104,10,2
greedy-cheapest,31.50,2,43.89,28.398,12.458,106,10,2
greedy-cheapest,32.00,2,21.80,23.978,12.651,109,11,2
greedy-cheapest,32.50,2,21.08,13.316,12.710,109,11,2
greedy-cheapest,33.00,2,43.38,21.703,13.255,113,11,2
greedy-cheapest,33.50,2,59.47,33.552,13.819,116,11,2
greedy-cheapest,34.00,2,22.47,8.836,12.991,117,12,2
greedy-cheapest,34.50,2,32.13,12.787,12.752,118,12,2
greedy-cheapest,35.00,2,42.08,19.725,13.298,120,12,2
greedy-cheapest,35.50,2,47.08,15.062,13.980,121,12,2
greedy-cheapest,36.00,2,46.36,4.400,14.063,121,12,2
greedy-cheapest,36.50,2,45.65,-1.311,14.063,121,12,2
greedy-cheapest,37.00,2,44.93,-1.311,14.063,121,12,2
greedy-cheapest,37.50,2,44.22,-1.311,13.898,121,12,2
greedy-cheapest,38.00,2,43.50,-1.311,13.733,121,12,2
greedy-cheapest,38.50,2,42.79,-1.311,13.733,121,12,2
greedy-cheapest,39.00,2,42.07,-1.311,13.733,121,12,2
greedy-cheapest,39.50,2,41.36,-1.311,13.339,121,12,2
greedy-cheapest,40.00,2,48.57,6.621,12.907,123,12,2
greedy-cheapest,40.50,2,69.89,28.650,13.071,127,12,2
greedy-cheapest,41.00,2,93.93,31.137,13.607,131,12,2
greedy-cheapest,41.50,2,110.35,40.581,15.085,134,12,2
greedy-cheapest,42.00,2,115.34,21.533,15.046,135,12,2
greedy-cheapest,42.50,2,142.79,32.558,15.405,139,12,2
greedy-cheapest,43.00,2,149.76,34.536,15.342,141,12,2
greedy-cheapest,43.50,2,164.37,21.703,15.063,143,12,2
greedy-cheapest,44.00,2,171.59,6.621,14.339,145,12,2
greedy-cheapest,44.50,2,194.65,30.395,15.051,149,12,2
greedy-cheapest,45.00,2,204.32,32.854,15.516,152,12,2
greedy-cheapest,45.50,2,230.78,36.253,15.628,156,12,2
greedy-cheapest,46.00,2,244.45,40.247,16.937,159,12,2
greedy-cheapest,46.50,2,255.11,24.448,17.423,162,12,2
greedy-cheapest,47.00,2,269.72,25.389,17.659,164,12,2
greedy-cheapest,47.50,2,269.00,14.014,17.615,164,12,2
greedy-cheapest,48.00,2,278.66,9.064,17.809,165,12,2
greedy-cheapest,48.50,2,277.95,-1.311,17.809,165,12,2
greedy-cheapest,49.00,2,277.23,-1.311,17.809,165,12,2
greedy-cheapest,49.50,2,276.52,-1.311,17.809,165,12,2
greedy-cheapest,50.00,2,275.80,-1.311,17.809,165,12,2
greedy-cheapest,50.50,2,275.09,-1.311,17.809,165,12,2
greedy-cheapest,51.00,2,274.37,-1.311,17.809,165,12,2
greedy-cheapest,51.50,2,283.34,8.366,18.213,167,12,2
greedy-cheapest,52.00,2,292.30,18.043,18.689,169,12,2
greedy-cheapest,52.50,2,320.02,36.804,19.028,173,12,2
greedy-cheapest,53.00,2,337.85,45.672,19.634,176,12,2
greedy-cheapest,53.50,2,339.59,19.692,18.764,177,12,2
greedy-cheapest,54.00,2,366.05,25.863,18.944,181,12,2
greedy-cheapest,54.50,2,376.47,26.620,18.697,184,12,2
greedy-cheapest,55.00,2,392.31,26.377,18.357,187,12,2
greedy-cheapest,55.50,2,411.92,31.850,18.779,192,12,2
greedy-cheapest,56.00,2,428.99,32.835,19.872,195,12,2
greedy-cheapest,56.50,2,428.28,16.473,19.292,195,12,2
greedy-cheapest,57.00,2,443.42,14.547,18.529,199,12,2
greedy-cheapest,57.50,2,454.36,26.202,18.110,202,12,2
greedy-cheapest,58.00,2,469.51,26.207,17.525,206,12,2
greedy-cheapest,58.50,2,489.54,35.302,17.977,208,12,2
greedy-cheapest,59.00,2,493.78,24.389,17.936,209,12,2
greedy-cheapest,59.50,2,493.06,3.639,17.503,209,12,2
greedy-cheapest,60.00,2,492.35,-1.311,17.071,209,12,2
greedy-cheapest,60.50,2,505.97,13.030,17.668,211,12,2
greedy-cheapest,61.00,2,510.97,8.366,18.072,212,12,2
greedy-cheapest,61.50,2,510.25,4.400,18.310,212,12,2
greedy-cheapest,62.00,2,509.54,-1.311,18.310,212,12,2
greedy-cheapest,62.50,2,508.82,-1.311,18.310,212,12,2
greedy-cheapest,63.00,2,508.11,-1.311,18.310,212,12,2
greedy-cheapest,63.50,2,517.77,9.064,18.339,213,12,2
greedy-cheapest,64.00,2,523.23,15.245,18.222,215,12,2
greedy-cheapest,64.50,2,539.40,21.751,17.595,219,12,2
greedy-cheapest,65.00,2,552.55,25.712,16.763,222,12,2
greedy-cheapest,65.50,2,562.21,22.930,16.898,223,12,2
greedy-cheapest,66.00,2,576.35,23.919,16.817,227,12,2
greedy-cheapest,66.50,2,589.28,23.463,16.686,230,12,2
greedy-cheapest,67.00,2,611.07,34.842,17.038,234,12,2
greedy-cheapest,67.50,2,634.13,39.263,17.347,238,12,2
greedy-cheapest,68.00,2,643.56,32.611,17.338,241,12,2
